-1.463892	-0.845297	-0.598133
-1.280313	-0.739746	-0.298998
-1.098344	-0.634382	0.000652
-0.915332	-0.528389	0.298121
-0.732229	-0.422129	0.598304
-1.281557	-0.527874	-0.597500
-1.097777	-0.422093	-0.297818
-0.915671	-0.317883	-0.000254
-0.732437	-0.210562	0.299100
-0.548154	-0.106011	0.597298
-1.098386	-0.211619	-0.597541
-0.914861	-0.105300	-0.298287
-0.731837	0.000166	-0.000771
-0.549372	0.106128	0.298229
-0.366440	0.210707	0.597406
-0.915540	0.105284	-0.596953
-0.731443	0.210824	-0.299510
-0.549215	0.317076	-0.000899
-0.366330	0.422492	0.299201
-0.182637	0.528933	0.596987
-0.732355	0.422361	-0.597220
-0.549621	0.528101	-0.299168
-0.366269	0.634400	0.000169
-0.182853	0.740000	0.299229
0.000224	0.845416	0.598100
-1.097921	-0.845612	-0.598252
-0.915196	-0.739109	-0.299319
-0.732779	-0.633605	-0.000284
-0.548337	-0.528856	0.299004
-0.366338	-0.422140	0.597257
-0.914818	-0.528394	-0.597024
-0.732460	-0.423365	-0.298461
-0.548476	-0.317262	-0.000561
-0.365611	-0.210787	0.298440
-0.182810	-0.105688	0.597447
-0.732667	-0.211580	-0.596895
-0.548635	-0.106306	-0.299270
-0.366133	0.000365	-0.000249
-0.183470	0.106106	0.298308
0.000481	0.210975	0.597241
-0.548737	0.106114	-0.597287
-0.365037	0.210768	-0.298341
-0.182438	0.317287	-0.000115
0.000407	0.423362	0.299365
0.182455	0.528913	0.597909
-0.365107	0.423125	-0.597456
-0.183916	0.528450	-0.299325
-0.000546	0.633590	-0.000260
0.183589	0.739198	0.298448
0.366243	0.845490	0.598040
-0.732440	-0.845758	-0.598083
-0.549489	-0.739761	-0.298743
-0.365319	-0.634314	0.000118
-0.183207	-0.528438	0.299157
-0.000256	-0.421766	0.597456
-0.549540	-0.528986	-0.598181
-0.366859	-0.423165	-0.298621
-0.182785	-0.317122	-0.000530
0.000473	-0.211205	0.298567
0.183693	-0.105449	0.598376
-0.365865	-0.210497	-0.597295
-0.182573	-0.105139	-0.298538
-0.000155	-0.000405	0.000458
0.183301	0.105334	0.298632
0.366638	0.211269	0.597932
